date;S03;S04
16/05/2023 21:10;1,4;0,5
16/05/2023 21:15;1,8;0,8
16/05/2023 21:20;0,9;-1,4
16/05/2023 21:25;1,5;-1,4
16/05/2023 21:30;0,8;-1,5
16/05/2023 21:40;1,4;0,2
16/05/2023 21:45;1,3;-2,6
16/05/2023 21:50;1,7;-0,3
16/05/2023 21:55;2,2;0,7
16/05/2023 22:00;1,2;-1,9
16/05/2023 22:05;1,9;1,1
16/05/2023 22:10;2,1;1,4
16/05/2023 22:15;2,5;1,8
16/05/2023 22:20;2,9;2,1
16/05/2023 22:25;3,3;2,6
16/05/2023 22:30;3,6;3
16/05/2023 22:35;4;4
16/05/2023 22:40;4,4;4,9
16/05/2023 22:45;4,6;4,6
16/05/2023 22:50;5;5,5
16/05/2023 22:55;5,1;4
16/05/2023 23:00;3,5;0,6
16/05/2023 23:05;2,3;-0,7
16/05/2023 23:10;1,9;1,2
16/05/2023 23:15;0,4;-1,5
16/05/2023 23:20;1;0
16/05/2023 23:25;1,4;-0,3
16/05/2023 23:30;1,4;-0,6
16/05/2023 23:35;1;-0,7
16/05/2023 23:40;1,7;-0,1
16/05/2023 23:45;1,1;-1,3
16/05/2023 23:50;1,1;-0,4
16/05/2023 23:55;0,9;-1
17/05/2023 00:00;1,3;0,7
17/05/2023 00:05;1,4;0,7
17/05/2023 00:10;0,9;-1,2
17/05/2023 00:15;1,6;0,3
17/05/2023 00:20;1,3;0,1
17/05/2023 00:25;1,2;-1,2
17/05/2023 00:30;1,5;0,4
17/05/2023 00:35;1,7;0,1
17/05/2023 00:40;1,4;-0,5
17/05/2023 00:45;1,7;-2,7
17/05/2023 00:50;1,3;1,1
17/05/2023 00:55;0,3;-2
17/05/2023 01:00;1,3;0,7
17/05/2023 01:05;1,5;1
17/05/2023 01:10;0,3;-1,5
17/05/2023 01:15;1;-1,4
17/05/2023 01:20;-0,5;-2,4
17/05/2023 01:25;0,9;0,3
17/05/2023 01:30;0,3;-1,3
17/05/2023 01:35;0,3;-0,7
17/05/2023 01:40;1,2;0,9
17/05/2023 01:45;0,7;-1,7
17/05/2023 01:50;1,2;-0,3
17/05/2023 01:55;1;-0,7
17/05/2023 02:00;1,2;0,9
17/05/2023 02:05;1;0,4
17/05/2023 02:10;1,5;0,9
17/05/2023 02:15;1,1;-0,2
17/05/2023 02:20;1,5;-0,5
17/05/2023 02:25;1,3;0,4
17/05/2023 02:30;1,6;0,4
17/05/2023 02:35;1,9;-0,1
17/05/2023 02:40;-0,3;-2,2
17/05/2023 02:45;0,9;-0,2
17/05/2023 02:50;1,8;0,9
17/05/2023 02:55;0,1;-2,3
17/05/2023 03:00;1,1;-0,1
17/05/2023 03:05;1,5;-0,5
17/05/2023 03:10;0,9;-0,6
17/05/2023 03:15;1,5;0,7
17/05/2023 03:20;-1;-2,9
17/05/2023 03:25;0,4;-0,3
17/05/2023 03:30;1,2;-1,3
17/05/2023 03:35;-0,1;-1,8
17/05/2023 03:40;1,4;0,8
17/05/2023 03:45;-0,1;-2
17/05/2023 03:50;1;-1
17/05/2023 03:55;0,4;-0,3
17/05/2023 04:00;0,6;-2,6
17/05/2023 04:05;1;-0,8
17/05/2023 04:10;1,1;-0,3
17/05/2023 04:15;1,6;1,3
17/05/2023 04:20;2,1;1,7
17/05/2023 04:25;2,5;1,9
17/05/2023 04:30;3;2,3
17/05/2023 04:35;3,3;2,7
17/05/2023 04:40;3,7;3,5
17/05/2023 04:45;4,1;4,3
17/05/2023 04:50;4,5;5,1
17/05/2023 04:55;4,2;2,4
17/05/2023 05:00;2,5;0,3
17/05/2023 05:05;-0,2;-2,1
17/05/2023 05:10;1,5;0,1
